2017-04-21 08:12:18.228 WARN  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'ClientUI.Retries MessagePump' is now in the armed state
2017-04-21 08:12:18.227 WARN  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'ClientUI MessagePump' is now in the armed state
2017-04-21 08:12:18.223 WARN  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'ClientUI.Timeouts MessagePump' is now in the armed state
2017-04-21 08:12:18.227 WARN  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'ClientUI.TimeoutsDispatcher MessagePump' is now in the armed state
2017-04-21 08:12:35.023 INFO  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'ClientUI.Timeouts MessagePump' is now disarmed
2017-04-21 08:12:35.026 INFO  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'ClientUI MessagePump' is now disarmed
2017-04-21 08:12:35.058 INFO  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'ClientUI.TimeoutsDispatcher MessagePump' is now disarmed
2017-04-21 08:12:35.058 INFO  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'ClientUI.Retries MessagePump' is now disarmed
2017-04-21 08:12:40.601 INFO  ClientUI.Program Unknown input. Please try again.
2017-04-21 08:12:40.608 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-04-21 08:12:42.953 INFO  ClientUI.Program Sending PlaceOrder command, OrderId = a759df6c-1221-4132-95d0-ebe286e987af
2017-04-21 08:12:42.980 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-04-21 08:50:24.723 INFO  DefaultFactory Logging to 'C:\Sebastian\Project\intro-to-nservicebus-3-multiple-endpoints\ClientUI\bin\Debug\' with level Info
